crawl,mimetype,pages,urls,%pages/crawl
CC-MAIN-2013-48,text/html,2196648300,2037889035,97.8125
CC-MAIN-2013-48,text/javascript,18203,18035,0.0008
CC-MAIN-2013-48,text/pdf,91,91,0.0000
CC-MAIN-2013-48,text/plain,3734584,3556575,0.1663
CC-MAIN-2013-48,text/prs.lines.tag,105,104,0.0000
CC-MAIN-2013-48,text/tab-separated-values,52712,51575,0.0023
CC-MAIN-2013-48,text/turtle,1325,1036,0.0001
CC-MAIN-2013-48,text/vcard,1586,1462,0.0001
CC-MAIN-2013-48,text/x-bibtex,22346,22203,0.0010
CC-MAIN-2013-48,text/x-c,4412,4196,0.0002
CC-MAIN-2013-48,text/x-csrc,4309,4245,0.0002
