crawl,primary_language,pages,urls,%pages/crawl
CC-MAIN-2018-43,hun,15436878,15314779,0.5075
CC-MAIN-2018-43,hye,750036,745915,0.0247
CC-MAIN-2018-43,ibo,4840,4816,0.0002
CC-MAIN-2018-43,iku,4843,4825,0.0002
CC-MAIN-2018-43,ile,8613,8503,0.0003
CC-MAIN-2018-43,ina,22987,22786,0.0008
CC-MAIN-2018-43,ind,22917168,22755378,0.7534
CC-MAIN-2018-43,ipk,4505,4283,0.0001
CC-MAIN-2018-43,isl,848293,838544,0.0279
CC-MAIN-2018-43,ita,59958938,59248557,1.9712
CC-MAIN-2018-43,jav,36872,36789,0.0012
CC-MAIN-2018-43,jpn,164699835,163294150,5.4146
CC-MAIN-2018-43,kal,15682,15331,0.0005
CC-MAIN-2018-43,kan,226352,225400,0.0074
CC-MAIN-2018-43,kas,22,20,0.0000
CC-MAIN-2018-43,kat,836485,832203,0.0275
CC-MAIN-2018-43,kaz,443616,440368,0.0146
CC-MAIN-2018-43,kha,5828,5720,0.0002
CC-MAIN-2018-43,khm,153324,151963,0.0050
CC-MAIN-2018-43,kin,51494,50625,0.0017
CC-MAIN-2018-43,kir,114031,113833,0.0037
CC-MAIN-2018-43,kor,18346237,18263754,0.6031
CC-MAIN-2018-43,kur,129228,128946,0.0042
CC-MAIN-2018-43,lao,66004,65644,0.0022
CC-MAIN-2018-43,lat,984088,975296,0.0324
CC-MAIN-2018-43,lav,2189928,2168391,0.0720
CC-MAIN-2018-43,lif,186,183,0.0000
CC-MAIN-2018-43,lin,4738,4655,0.0002
CC-MAIN-2018-43,lit,4124369,4071614,0.1356
CC-MAIN-2018-43,ltz,59804,59120,0.0020
CC-MAIN-2018-43,lug,3403,3357,0.0001
CC-MAIN-2018-43,mal,421923,419624,0.0139
CC-MAIN-2018-43,mar,283297,253172,0.0093
CC-MAIN-2018-43,mfe,2977,2917,0.0001
CC-MAIN-2018-43,mkd,542325,539655,0.0178
CC-MAIN-2018-43,mlg,58503,58212,0.0019
CC-MAIN-2018-43,mlt,53837,53565,0.0018
CC-MAIN-2018-43,mon,399472,396079,0.0131
CC-MAIN-2018-43,mri,21604,21046,0.0007
CC-MAIN-2018-43,msa,2935856,2923393,0.0965
CC-MAIN-2018-43,mya,259516,258698,0.0085
CC-MAIN-2018-43,nau,1078,1045,0.0000
CC-MAIN-2018-43,nep,365099,363823,0.0120
CC-MAIN-2018-43,nld,42540738,41882253,1.3985
CC-MAIN-2018-43,nno,391354,386058,0.0129
CC-MAIN-2018-43,nor,8902292,8795013,0.2927
CC-MAIN-2018-43,nso,4468,4451,0.0001
CC-MAIN-2018-43,nya,10096,9997,0.0003
CC-MAIN-2018-43,oci,57487,57179,0.0019
CC-MAIN-2018-43,ori,66538,66452,0.0022
CC-MAIN-2018-43,orm,8101,7969,0.0003
CC-MAIN-2018-43,pan,96035,95730,0.0032
CC-MAIN-2018-43,pol,51628822,51107900,1.6973
CC-MAIN-2018-43,por,59355355,58778355,1.9513
CC-MAIN-2018-43,pus,67676,67508,0.0022
CC-MAIN-2018-43,que,15012,14889,0.0005
CC-MAIN-2018-43,roh,40796,40558,0.0013
CC-MAIN-2018-43,ron,15881874,15750505,0.5221
CC-MAIN-2018-43,run,3723,3685,0.0001
CC-MAIN-2018-43,rus,284290628,282424337,9.3462
CC-MAIN-2018-43,sag,283,278,0.0000
