,crawl,date,type,size
1836,CC-MAIN-2020-29,2020-07-13,unfetched,2667329075
1837,CC-MAIN-2020-29,2020-07-13,fetched,11551270706
1838,CC-MAIN-2020-29,2020-07-13,gone,1391470539
1839,CC-MAIN-2020-29,2020-07-13,redir_temp,377736669
1840,CC-MAIN-2020-29,2020-07-13,redir_perm,541842801
1841,CC-MAIN-2020-29,2020-07-13,notmodified,1291142246
1842,CC-MAIN-2020-29,2020-07-13,duplicate,1179403381
1843,CC-MAIN-2020-29,2020-07-13,orphan,1528625311
1878,CC-MAIN-2020-34,2020-08-17,unfetched,2433303004
1879,CC-MAIN-2020-34,2020-08-17,fetched,11562709592
1880,CC-MAIN-2020-34,2020-08-17,gone,1369232998
1881,CC-MAIN-2020-34,2020-08-17,redir_temp,328085012
1882,CC-MAIN-2020-34,2020-08-17,redir_perm,475362874
1883,CC-MAIN-2020-34,2020-08-17,notmodified,1296917973
1884,CC-MAIN-2020-34,2020-08-17,duplicate,1156895281
1885,CC-MAIN-2020-34,2020-08-17,orphan,1780606913
1920,CC-MAIN-2020-40,2020-09-28,unfetched,3823419718
1921,CC-MAIN-2020-40,2020-09-28,fetched,11109911962
1922,CC-MAIN-2020-40,2020-09-28,gone,1138156112
1923,CC-MAIN-2020-40,2020-09-28,redir_temp,324775626
1924,CC-MAIN-2020-40,2020-09-28,redir_perm,468113459
1925,CC-MAIN-2020-40,2020-09-28,notmodified,1210112001
1926,CC-MAIN-2020-40,2020-09-28,duplicate,1015337830
1927,CC-MAIN-2020-40,2020-09-28,orphan,2083220619
1962,CC-MAIN-2020-45,2020-11-02,unfetched,4013679532
1963,CC-MAIN-2020-45,2020-11-02,fetched,11644427153
1964,CC-MAIN-2020-45,2020-11-02,gone,1143950643
1965,CC-MAIN-2020-45,2020-11-02,redir_temp,327728343
1966,CC-MAIN-2020-45,2020-11-02,redir_perm,496821771
1967,CC-MAIN-2020-45,2020-11-02,notmodified,1214801317
1968,CC-MAIN-2020-45,2020-11-02,duplicate,1039815597
1969,CC-MAIN-2020-45,2020-11-02,orphan,1649792157
2004,CC-MAIN-2020-50,2020-12-07,unfetched,3968496666
2005,CC-MAIN-2020-50,2020-12-07,fetched,12297968183
2006,CC-MAIN-2020-50,2020-12-07,gone,1111198736
2007,CC-MAIN-2020-50,2020-12-07,redir_temp,393524347
2008,CC-MAIN-2020-50,2020-12-07,redir_perm,585973504
2009,CC-MAIN-2020-50,2020-12-07,notmodified,1175926356
2010,CC-MAIN-2020-50,2020-12-07,duplicate,1045427105
2011,CC-MAIN-2020-50,2020-12-07,orphan,1436041194
2046,CC-MAIN-2021-04,2021-01-25,unfetched,4286112571
2047,CC-MAIN-2021-04,2021-01-25,fetched,12206803964
2048,CC-MAIN-2021-04,2021-01-25,gone,1113131343
2049,CC-MAIN-2021-04,2021-01-25,redir_temp,401279933
2050,CC-MAIN-2021-04,2021-01-25,redir_perm,595411182
2051,CC-MAIN-2021-04,2021-01-25,notmodified,1098610883
2052,CC-MAIN-2021-04,2021-01-25,duplicate,1042496692
2053,CC-MAIN-2021-04,2021-01-25,orphan,1961082431
2088,CC-MAIN-2021-10,2021-03-08,unfetched,3774278312
2089,CC-MAIN-2021-10,2021-03-08,fetched,12676125866
2090,CC-MAIN-2021-10,2021-03-08,gone,1143565384
2091,CC-MAIN-2021-10,2021-03-08,redir_temp,407980478
2092,CC-MAIN-2021-10,2021-03-08,redir_perm,620102017
2093,CC-MAIN-2021-10,2021-03-08,notmodified,1106333792
2094,CC-MAIN-2021-10,2021-03-08,duplicate,1056177611
2095,CC-MAIN-2021-10,2021-03-08,orphan,2152797901
2130,CC-MAIN-2021-17,2021-04-26,unfetched,3907505417
2131,CC-MAIN-2021-17,2021-04-26,fetched,13134056830
2132,CC-MAIN-2021-17,2021-04-26,gone,1164575344
2133,CC-MAIN-2021-17,2021-04-26,redir_temp,379122900
2134,CC-MAIN-2021-17,2021-04-26,redir_perm,582479322
2135,CC-MAIN-2021-17,2021-04-26,notmodified,1086399934
2136,CC-MAIN-2021-17,2021-04-26,duplicate,1071678206
2137,CC-MAIN-2021-17,2021-04-26,orphan,1818713777
2172,CC-MAIN-2021-21,2021-05-24,unfetched,4615640332
2173,CC-MAIN-2021-21,2021-05-24,fetched,13455648147
2174,CC-MAIN-2021-21,2021-05-24,gone,1219602381
2175,CC-MAIN-2021-21,2021-05-24,redir_temp,431976698
2176,CC-MAIN-2021-21,2021-05-24,redir_perm,611179955
2177,CC-MAIN-2021-21,2021-05-24,notmodified,1075723453
2178,CC-MAIN-2021-21,2021-05-24,duplicate,1147514566
2179,CC-MAIN-2021-21,2021-05-24,orphan,1156669841
2205,CC-MAIN-2021-25,2021-06-21,unfetched,4686648268
2206,CC-MAIN-2021-25,2021-06-21,fetched,14551473174
2207,CC-MAIN-2021-25,2021-06-21,gone,1440720582
2208,CC-MAIN-2021-25,2021-06-21,redir_temp,441151277
2209,CC-MAIN-2021-25,2021-06-21,redir_perm,603351871
2210,CC-MAIN-2021-25,2021-06-21,notmodified,1011741947
2211,CC-MAIN-2021-25,2021-06-21,duplicate,1323907039
2212,CC-MAIN-2021-25,2021-06-21,orphan,741463649
2247,CC-MAIN-2021-31,2021-08-02,unfetched,4576610281
2248,CC-MAIN-2021-31,2021-08-02,fetched,14820522928
2249,CC-MAIN-2021-31,2021-08-02,gone,1316943908
